"LimesLimits_ID";"obsolete";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Uncertain";"Start_period";"End_period";"Size";"Conservation";"Notes";"checked";"location_note"
1;0;179520;417600;"Escharen";"Graafsche Raam";"rural settlement";0;"ROMV";"ROMM";;;"mostly VME site, stretching over 1.6 ha; ROML discontinuity assumed (Verwers and Buisman 1985); burials on same site are VME (Willems 1986 assumes they are ROM, site 549)";1;
2;0;182200;417225;"Gassel";"Grote Geest / Het Rad van Avontuur";"rural settlement";0;"ROMM";"ROML";;"mostly disturbed";"finds dated 150 - 400 AD (Beex 1973); most probably 3rd century AD, although Verwers (1998) indicates ROML - VME; also MESO/NEO/BRONS site";1;
3;0;178540;418540;"Grave";"De Zittert";"rural settlement";0;"ROMV";"ROMM";;;"habitation dated ROMM (Verwers 1999), but ROMV fibulae indicate earlier occupation";1;
4;0;180500;417500;"Escharen";"Escharense Veld I";"rural settlement; burial(s)";0;"IJZL";"ROMM";;;"habitation dated approx. 250 BC - 275 AD; burial(s) dated approx. 100 - 150 AD (Willems 1986)";1;
5;1;180500;417180;"Escharen";"Escharense Veld II";"burial(s)";0;"ROMMA";"ROMMA";;;"= site 4";1;
6;0;179950;416600;"Escharen";"Rotseweg";"rural settlement";0;"ROMM";"ROMM";;;"also BRONS/IJZ and VME site (Verwers 1983), and IJZM burials";1;
7;0;179880;415860;"Escharen";"Hoogeburgt";"rural settlement";0;"ROMVB";"ROMMB";;;"habitation dated approx. 50 - 275 AD (Willems 1986); coins mainly from 50 - 180 AD (Verwers 1983); also VME site";1;
8;0;178900;420300;"Grave";"Maas";"deposit?";1;"ROMM";"ROMLA";;;;1;
9;0;179480;419180;"Grave";"Maaspoort";"road?";1;"ROM";"ROM";;;"location described by Hermans (1865): 'buiten de Maaspoort'";1;
10;0;182540;416940;"Gassel";"Provincialeweg";"rural settlement";0;"ROMMA";"ROMMB";;;;1;
11;1;189250;415750;"Cuijk";"Centrum I";"military settlement?";0;"ROMV";"ROMM";;;"= site 12";1;
12;0;189250;415750;"Cuijk";"Centrum II";"civil settlement; military settlement?; road";0;"ROMV";"ROMM";"500 x 250 m?";;"evidence for ROMVB military settlement is dubious (van Enckevort and Thijssen 2002)";1;
13;0;189250;415750;"Cuijk";"Centrum III";"castellum";0;"ROMLA";"ROMLB";"160 x 110 m";;"Ceuclum; two building phases: earthen walls and pallisade under Constantine II (306 - 337 AD) and stone walls with semi-circular tower under Valentinian I (364 - 375 AD)";1;
14;0;189425;415795;"Cuijk";"Maas";"bridge";0;"ROMLB";"ROMLB";"approx. 350 m";;"three building phases, dated 334-343 AD, 368-369 AD and 387-398 AD; Archis-waarneming 38503 removed from Archis";1;
15;0;189250;415350;"Cuijk";"Grotestraat";"burial(s); road";0;"ROMVB";"ROMMB";"250 x 500 m?";;"possibly 1000 - 2000 burial(s) dated approx. 40 - 260 AD (van Enckevort and Thijssen 2002)";1;
16;1;189200;415600;"Cuijk";"Steenweg";"road";0;"ROM";"ROM";;;"= site 15";1;
17;1;189120;415940;"Cuijk";"Bejaardentehuis";"road";0;"ROM";"ROM";;;"= site 12";1;
18;0;188265;415195;"Cuijk";"Het Riet";"rural settlement; burial(s)";1;"ROMM";"ROML";;;"also NEO/IJZ and VME site; single ROM burial (Heirbaut 2005)";1;
19;1;189400;414150;"Cuijk";"Padbroek";"rural settlement";0;"IJZV";"IJZL";"80 x ?? m";;"habitation dated 800 - 0 BC (Willems 1986), no evidence for ROM occupation";1;
20;0;185500;415500;"Beers";"Kerkeveld";"rural settlement";0;"ROM";"ROM";"100 x 150 m";"intact";"habitation dated ROMM - ROML (Verwers 1999) with emphasis on ROMM";1;
21;0;187500;416500;"Cuijk";"Heeswijkse Kampen I";"rural settlement; burial(s)";0;"ROMMA";"ROMMB";;;"habitation dated approx. 100 - 300 AD; also IJZM/IJZL burial site and BRONS/IJZ settlement (Ball et al. 2001)";1;
22;0;187900;416450;"Cuijk";"Heeswijkse Kampen II";"burial(s)";0;"ROMVA";"ROMMB";"70 x 30 m";"excavated";"approx. 150 - 200 burials dated approx. 0 - 150 AD; also BRONSL/IJZV burial site (Hessing et al. 1989)";1;
23;0;185250;416500;"Beers";"Dommelsvoort I";"burial(s)";0;"ROMM";"ROMM";"100 x 100 m";;"also IJZ burial site";1;
24;0;183800;416300;"Gassel";"Heihoek";"rural settlement?";1;"IJZL";"ROMM";;;"habitation dated ROMM (Verwers 1999)";1;
25;0;182850;417250;"Gassel";"Overlaat";"rural settlement";0;"IJZL";"ROMM";"90 x 70 m";;"habitation dated approx. IJZL - 200 AD (Verwers et al. 1990)";1;
26;1;184880;417940;"Linden";"Groot Linden I";"rural settlement";0;"IJZL";"IJZL";;;"ROM habitation uncertain; also VME/LME site";1;
27;0;185990;418050;"Linden";"Groot Linden II";"burial(s)";0;"ROMV";"ROML";;;"finds dated approx. 100 - 200 AD (Willems 1986)";1;
28;0;189900;417350;"Mook";"Startsche Veld";"burial(s)?";0;"ROMMA";"ROMMB";;;"finds dated approx. 75 - 200 AD (Willems 1986)";1;
